Date,Open,High,Low,Close,Volume,Adj Close
2013-02-11,85.660004,85.660004,85.660004,85.660004,000,81.848231
2013-02-08,85.660004,85.660004,85.660004,85.660004,100,81.848231
2013-02-07,85.489998,85.489998,85.489998,85.489998,000,81.68579
2013-02-06,85.489998,85.489998,85.489998,85.489998,400,81.68579
2013-02-05,85.32,85.32,85.32,85.32,2000,81.523357
2013-02-04,85.650002,85.730003,85.639999,85.660004,10500,81.848231
2013-02-01,85.809998,85.809998,85.209999,85.209999,1800,81.418251
2013-01-31,85.480003,85.489998,85.389999,85.459999,7100,81.657126
2013-01-30,85.400002,85.400002,85.32,85.339996,1100,81.437358
2013-01-29,85.68,85.68,85.68,85.68,300,81.761813
2013-01-28,85.529999,85.650002,85.510002,85.650002,8300,81.733187
2013-01-25,86.379997,86.379997,86.379997,86.379997,000,82.429799
2013-01-24,86.379997,86.379997,86.379997,86.379997,300,82.429799
2013-01-23,86.510002,86.510002,86.510002,86.510002,000,82.553859
2013-01-22,86.519997,86.519997,86.510002,86.510002,2300,82.553859
2013-01-18,86.190002,86.190002,86.190002,86.190002,000,82.248493
2013-01-17,86.139999,86.199997,86.139999,86.190002,2100,82.248493
2013-01-16,86.459999,86.459999,86.459999,86.459999,000,82.506143
2013-01-15,86.580002,86.580002,86.459999,86.459999,1200,82.506143
2013-01-14,86.260002,86.309998,86.260002,86.300003,2600,82.353463
2013-01-11,86.089996,86.089996,86.089996,86.089996,000,82.15306
2013-01-10,86.07,86.089996,86.07,86.089996,700,82.15306
2013-01-09,86.169998,86.32,86.169998,86.32,700,82.372545
2013-01-08,86.129997,86.150002,86.129997,86.150002,26800,82.210321
2013-01-07,85.940002,85.949997,85.940002,85.949997,600,82.019463
2013-01-04,85.769997,85.879997,85.760002,85.879997,10600,81.952664
2013-01-03,86.269997,86.290001,85.949997,86.040001,12100,82.105351
2013-01-02,86.82,86.82,86.82,86.82,000,82.84968
2012-12-31,86.989998,86.989998,86.82,86.82,10200,82.84968
2012-12-28,87.190002,87.190002,87.139999,87.190002,800,83.202763
2012-12-27,86.919998,86.93,86.919998,86.93,10000,82.95465
2012-12-26,87.010002,87.010002,86.970001,86.970001,500,82.887855
2012-12-24,86.839996,86.839996,86.839996,86.839996,100,82.763952
2012-12-21,86.949997,86.949997,86.949997,86.949997,200,82.86879
2012-12-20,86.739998,86.739998,86.669998,86.669998,5300,82.601933
2012-12-19,86.550003,86.559998,86.550003,86.559998,5000,82.497096
2012-12-18,86.589996,86.589996,86.540001,86.559998,5800,82.497096
2012-12-17,87.029999,87.029999,87.029999,87.029999,200,82.945036
2012-12-14,87.269997,87.269997,87.269997,87.269997,000,83.173769
2012-12-13,87.269997,87.269997,87.269997,87.269997,000,83.173769
2012-12-12,87.660004,87.669998,87.269997,87.269997,10100,83.173769
2012-12-11,88.57,88.57,88.57,88.57,000,84.412754
2012-12-10,88.57,88.57,88.57,88.57,000,84.412754
2012-12-07,88.57,88.57,88.57,88.57,000,84.412754
2012-12-06,88.57,88.57,88.57,88.57,000,84.412754
2012-12-05,88.639999,88.639999,88.57,88.57,600,84.412754
2012-12-04,88.360001,88.400002,88.360001,88.400002,200,84.250735
2012-12-03,88.309998,88.32,88.269997,88.300003,1700,84.15543
2012-11-30,88.339996,88.410004,88.339996,88.410004,10600,84.260267
2012-11-29,88.510002,88.510002,88.510002,88.510002,1200,84.255499
2012-11-28,88.400002,88.400002,88.400002,88.400002,500,84.150786
2012-11-27,88.110001,88.279999,88.110001,88.279999,1100,84.036552
2012-11-26,88.290001,88.290001,88.139999,88.139999,800,83.903282
2012-11-23,87.940002,87.940002,87.940002,87.940002,300,83.712898
2012-11-21,87.93,87.959999,87.919998,87.959999,5700,83.731934
2012-11-20,88.309998,88.32,88.110001,88.110001,7500,83.874725
2012-11-19,88.419998,88.419998,88.419998,88.419998,1000,84.169822
2012-11-16,88.580002,88.800003,88.580002,88.800003,1600,84.53156
2012-11-15,88.639999,88.639999,88.57,88.57,1800,84.312613
2012-11-14,88.540001,88.599998,88.50,88.599998,1500,84.34117
2012-11-13,88.599998,88.599998,88.599998,88.599998,400,84.34117
2012-11-12,88.419998,88.419998,88.419998,88.419998,000,84.169822
2012-11-09,88.419998,88.419998,88.419998,88.419998,200,84.169822
2012-11-08,88.300003,88.300003,88.300003,88.300003,4800,84.055594
2012-11-07,88.040001,88.139999,88.010002,88.010002,2300,83.779533
2012-11-06,87.349998,87.349998,87.349998,87.349998,000,83.151255
2012-11-05,87.349998,87.349998,87.349998,87.349998,000,83.151255
2012-11-02,87.309998,87.349998,87.309998,87.349998,600,83.151255
2012-11-01,87.50,87.50,87.50,87.50,000,83.294046
2012-10-31,87.330002,87.50,87.120003,87.50,14900,83.294046
2012-10-26,86.669998,86.669998,86.669998,86.669998,000,82.503941
2012-10-25,86.699997,86.699997,86.669998,86.669998,25000,82.503941
2012-10-24,87.230003,87.239998,87.209999,87.239998,1200,83.046542
2012-10-23,87.220001,87.330002,87.220001,87.300003,36600,83.103662
2012-10-22,86.989998,86.989998,86.989998,86.989998,100,82.808559
2012-10-19,87.169998,87.220001,87.169998,87.220001,5600,83.027506
2012-10-18,87.050003,87.050003,86.959999,86.959999,300,82.780002
2012-10-17,87.910004,87.910004,87.910004,87.910004,000,83.684342
2012-10-16,87.910004,87.910004,87.910004,87.910004,000,83.684342
2012-10-15,87.910004,87.910004,87.910004,87.910004,300,83.684342
2012-10-12,88.07,88.07,88.07,88.07,100,83.836647
2012-10-11,87.529999,87.839996,87.529999,87.839996,700,83.617699
2012-10-10,87.589996,87.769997,87.589996,87.769997,400,83.551064
2012-10-09,87.699997,87.699997,87.620003,87.620003,400,83.40828
2012-10-08,87.589996,87.589996,87.349998,87.400002,1900,83.198854
2012-10-05,87.580002,87.580002,87.580002,87.580002,100,83.370202
2012-10-04,88.029999,88.080002,88.019997,88.019997,34400,83.789047
2012-10-03,88.129997,88.129997,88.129997,88.129997,000,83.89376
2012-10-02,88.120003,88.129997,88.120003,88.129997,500,83.89376
2012-10-01,88.059998,88.220001,88.019997,88.209999,700,83.969917
2012-09-28,88.18,88.209999,88.00,88.010002,7000,83.779533
2012-09-27,88.300003,88.300003,88.190002,88.190002,900,83.808093
2012-09-26,88.139999,88.139999,88.139999,88.139999,300,83.760574
2012-09-25,87.75,87.93,87.75,87.93,5600,83.561009
2012-09-24,87.720001,87.720001,87.620003,87.620003,1000,83.266415
2012-09-21,87.190002,87.370003,87.169998,87.370003,2700,83.028837
2012-09-20,87.239998,87.25,87.239998,87.25,600,82.914796
2012-09-19,87.18,87.199997,87.129997,87.150002,32900,82.819767
2012-09-18,87.129997,87.129997,86.949997,87.019997,12500,82.696221
2012-09-17,86.830002,86.830002,86.760002,86.769997,48100,82.458643
2012-09-14,86.980003,86.980003,86.419998,86.620003,1900,82.316102
2012-09-13,87.559998,87.559998,87.209999,87.400002,5300,83.057345
2012-09-12,87.720001,87.720001,87.720001,87.720001,000,83.361445
2012-09-11,87.720001,87.720001,87.720001,87.720001,200,83.361445
2012-09-10,87.82,87.830002,87.720001,87.830002,1900,83.46598
2012-09-07,87.980003,87.980003,87.959999,87.959999,400,83.589518
2012-09-06,87.779999,87.779999,87.779999,87.779999,100,83.418461
2012-09-05,88.370003,88.459999,88.290001,88.290001,1700,83.903123
2012-09-04,88.470001,88.470001,88.370003,88.370003,1100,83.979149
2012-08-31,88.220001,88.220001,88.220001,88.220001,200,83.836601
2012-08-30,88.25,88.25,88.25,88.25,200,83.732065
2012-08-29,88.050003,88.050003,87.970001,87.970001,700,83.466401
2012-08-28,88.139999,88.18,88.089996,88.160004,28000,83.646676
2012-08-27,87.989998,87.989998,87.989998,87.989998,100,83.485374
2012-08-24,87.769997,87.779999,87.769997,87.779999,500,83.286126
2012-08-23,87.370003,87.370003,87.370003,87.370003,000,82.897119
2012-08-22,87.230003,87.370003,87.230003,87.370003,4300,82.897119
2012-08-21,86.639999,87.019997,86.639999,86.970001,6700,82.517596
2012-08-20,86.940002,86.940002,86.879997,86.879997,600,82.432199
2012-08-17,86.739998,86.739998,86.739998,86.739998,000,82.299367
2012-08-16,86.970001,86.970001,86.739998,86.739998,4200,82.299367
2012-08-15,87.529999,87.529999,87.529999,87.529999,000,83.048924
2012-08-14,87.529999,87.529999,87.529999,87.529999,200,83.048924
2012-08-13,88.120003,88.120003,88.120003,88.120003,500,83.608723
2012-08-10,87.919998,87.93,87.919998,87.93,600,83.428448
2012-08-09,87.540001,87.720001,87.510002,87.720001,2700,83.2292
2012-08-08,88.029999,88.029999,87.769997,87.769997,800,83.276636
2012-08-07,87.82,87.93,87.82,87.93,2700,83.428448
2012-08-06,88.300003,88.480003,88.209999,88.400002,16700,83.874388
2012-08-03,88.239998,88.239998,88.209999,88.209999,600,83.694112
2012-08-02,88.919998,89.019997,88.919998,88.980003,1700,84.424696
2012-08-01,88.68,88.730003,88.68,88.720001,3600,84.178005
2012-07-31,88.629997,88.739998,88.629997,88.739998,2600,84.196978
2012-07-30,88.690002,88.860001,88.690002,88.860001,2200,84.187493
2012-07-27,88.690002,88.690002,88.50,88.50,300,83.846422
2012-07-26,89.389999,89.389999,89.260002,89.260002,700,84.566461
2012-07-25,89.459999,89.459999,89.449997,89.449997,300,84.746466
2012-07-24,89.220001,89.220001,89.169998,89.169998,200,84.48119
2012-07-23,89.400002,89.400002,89.220001,89.220001,1400,84.528564
2012-07-20,88.769997,88.769997,88.769997,88.769997,000,84.102222
2012-07-19,88.879997,88.879997,88.769997,88.769997,700,84.102222
2012-07-18,88.790001,88.790001,88.790001,88.790001,000,84.121174
2012-07-17,88.790001,88.790001,88.790001,88.790001,1000,84.121174
2012-07-16,89.129997,89.129997,88.970001,88.970001,7600,84.291709
2012-07-13,88.790001,88.82,88.779999,88.809998,1200,84.140119
2012-07-12,88.82,88.919998,88.82,88.889999,1300,84.215914
2012-07-11,88.730003,88.730003,88.730003,88.730003,000,84.064331
2012-07-10,88.730003,88.730003,88.730003,88.730003,200,84.064331
2012-07-09,88.629997,88.779999,88.629997,88.779999,9800,84.111698
2012-07-06,88.449997,88.449997,88.389999,88.389999,500,83.742206
2012-07-05,88.139999,88.139999,88.050003,88.110001,7500,83.47693
2012-07-03,88.169998,88.169998,87.980003,87.980003,35100,83.353768
2012-07-02,87.709999,87.709999,87.709999,87.709999,000,83.097962
2012-06-29,87.739998,87.739998,87.68,87.709999,10900,83.097962
2012-06-28,88.389999,88.389999,88.360001,88.360001,600,83.605776
2012-06-27,87.970001,87.970001,87.970001,87.970001,800,83.23676
2012-06-26,87.940002,87.940002,87.940002,87.940002,200,83.208375
2012-06-25,88.00,88.169998,88.00,88.059998,6400,83.321914
2012-06-22,87.75,87.900002,87.669998,87.669998,3300,82.952899
2012-06-21,88.00,88.00,88.00,88.00,100,83.265145
2012-06-20,87.870003,87.870003,87.830002,87.830002,400,83.104293
2012-06-19,88.010002,88.010002,88.010002,88.010002,500,83.274609
2012-06-18,88.290001,88.290001,88.230003,88.230003,400,83.482773
2012-06-15,88.209999,88.279999,88.209999,88.220001,1000,83.473309
2012-06-14,88.169998,88.169998,87.879997,87.879997,1300,83.151599
2012-06-13,88.239998,88.239998,88.190002,88.190002,900,83.444924
2012-06-12,88.129997,88.129997,87.059998,87.940002,400,83.208375
2012-06-11,88.07,88.25,88.07,88.18,800,83.43546
2012-06-08,88.419998,88.419998,87.959999,87.959999,60800,83.227296
2012-06-07,87.800003,88.209999,87.790001,88.209999,8700,83.463845
2012-06-06,88.25,88.279999,88.010002,88.010002,45800,83.274609
2012-06-05,88.419998,88.440002,88.400002,88.440002,5200,83.681473
2012-06-04,88.699997,88.779999,88.599998,88.639999,2700,83.870709
2012-06-01,88.889999,89.099998,88.889999,89.099998,6300,84.305958
2012-05-31,88.18,88.400002,88.169998,88.269997,10500,83.520614
2012-05-30,87.860001,88.190002,87.860001,88.190002,2800,83.302998
2012-05-29,87.480003,87.480003,87.379997,87.440002,5100,82.594559
2012-05-25,87.379997,87.379997,87.290001,87.330002,2000,82.490654
2012-05-24,87.220001,87.540001,87.18,87.190002,7800,82.358412
2012-05-23,87.50,87.519997,87.470001,87.519997,700,82.67012
2012-05-22,87.010002,87.010002,87.010002,87.010002,200,82.188387
2012-05-21,87.360001,87.360001,87.360001,87.360001,200,82.51899
2012-05-18,87.459999,87.519997,87.459999,87.519997,1000,82.67012
2012-05-17,87.18,89.459999,87.18,87.57,18000,82.717352
2012-05-16,87.169998,87.230003,87.029999,87.07,10100,82.245059
2012-05-15,87.029999,87.029999,87.029999,87.029999,400,82.207275
2012-05-14,87.080002,87.190002,87.019997,87.019997,27900,82.197827
